INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Mariegade', 1);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Idavang', 30);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Laugeboulevard', 30);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Laugevenget', 31);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Laugevenget', 31);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Henrikavenue', 31);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Henrikavenue', 31);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Laurabakken', 31);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Arthurtorv', 32);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Arthurtorv', 32);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Kirstengågade', 32);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Kirstengågade', 32);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Kirstengågade', 32);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Theoavenue', 32);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Theoavenue', 32);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Josefinegågade', 32);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Laugevang', 33);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Olevej', 33);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Olevej', 33);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Olevej', 33);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Sofiaavenue', 34);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Albertebakken', 34);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Albertebakken', 34);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Albertebakken', 34);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Asgervenget', 34);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Livatorv', 34);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Nohrgade', 35);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Alberteavenue', 36);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Alberteavenue', 36);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Hannevej', 37);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Noahvej', 37);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Noahvej', 37);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Noahvej', 37);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Elliotled', 37);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Eliasvej', 37);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Metteboulevard', 38);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Metteboulevard', 38);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Susanneled', 38);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Susanneled', 38);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Theodortorv', 38);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Theodortorv', 38);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Theodortorv', 38);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Isabellavenget', 38);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Elliotvenget', 39);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Elliotvenget', 39);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Philipled', 39);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Philipled', 39);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Philipled', 39);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Alberteboulevard', 39);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Alberteboulevard', 39);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Alberteboulevard', 39);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Annevang', 40);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Annevang', 40);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Nannagade', 40);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Nannagade', 40);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Mariusgågade', 40);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Mariusgågade', 40);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Mariusgågade', 40);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Bentevenget', 41);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Bentevenget', 41);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Michaelgade', 41);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Stephanboulevard', 41);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Loneboulevard', 41);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Loneboulevard', 41);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Lilygade', 42);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Lilygade', 42);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Lilygade', 42);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Ellastrede', 42);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Ellastrede', 42);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Bentevenget', 42);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Sofieled', 42);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Sofieled', 42);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Felixstrede', 43);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Felixstrede', 43);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Kirstentorv', 43);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Kirstentorv', 43);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Emilvenget', 43);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Emilvenget', 43);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Oliviaavenue', 43);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Oliviaavenue', 43);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Christianvenget', 44);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Christianvenget', 44);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Liamled', 44);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Liamled', 44);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Astavej', 44);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Astavej', 44);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Astavej', 44);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Olegade', 45);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Lilyled', 46);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Lilyled', 46);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Lilyled', 46);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Liamvej', 46);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Jacobavenue', 46);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Lonegågade', 47);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Lonegågade', 47);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Akselvej', 47);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Akselvej', 47);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Akselvej', 47);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Valdemargågade', 48);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Valdemargågade', 48);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Najavang', 49);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Thorboulevard', 49);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Thorboulevard', 49);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Magnusled', 50);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Stormvenget', 50);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Ayastrede', 50);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Ayastrede', 50);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Ayastrede', 50);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Philipgade', 51);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Philipgade', 51);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Philipgade', 51);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Isabellavenget', 52);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Isabellavenget', 52);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Isabellavenget', 52);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Emilievej', 53);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Emilievej', 53);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Lonetorv', 53);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Lonetorv', 53);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Petervenget', 53);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Petervenget', 53);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Louiestrede', 53);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Louiestrede', 53);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Louiestrede', 53);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Lilytorv', 54);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Lilytorv', 54);
